date,ticker,open,high,low,close,volume
2025-08-15,AAPL,234.0,234.28,229.335,231.59,56038657.0
2025-08-18,AAPL,231.7,233.12,230.11,230.89,37476188.0
2025-08-19,AAPL,231.275,232.87,229.35,230.56,39402564.0
2025-08-20,AAPL,229.98,230.47,225.77,226.01,42263865.0
2025-08-21,AAPL,226.27,226.52,223.7804,224.9,30621249.0
2025-08-22,AAPL,226.17,229.09,225.41,227.76,42477811.0
2025-08-25,AAPL,226.48,229.3,226.23,227.16,30983133.0
2025-08-26,AAPL,226.87,229.49,224.69,229.31,54575107.0
2025-08-27,AAPL,228.61,230.9,228.26,230.49,31259513.0
2025-08-28,AAPL,230.82,233.41,229.335,232.56,38074700.0
2025-08-29,AAPL,232.51,233.38,231.37,232.14,39418437.0
2025-09-02,AAPL,229.25,230.85,226.97,229.72,44075638.0
2025-09-03,AAPL,237.21,238.85,234.36,238.47,66427835.0
2025-09-04,AAPL,238.45,239.8999,236.74,239.78,47549429.0
2025-09-05,AAPL,239.995,241.32,238.4901,239.69,54870397.0
2025-09-08,AAPL,239.3,240.15,236.34,237.88,48999495.0
2025-09-09,AAPL,237.0,238.7805,233.36,234.35,66313918.0
2025-09-10,AAPL,232.185,232.42,225.95,226.79,83440810.0
2025-09-11,AAPL,226.875,230.45,226.65,230.03,50208578.0
2025-09-12,AAPL,229.22,234.51,229.02,234.07,55824216.0
2025-09-15,AAPL,237.0,238.19,235.03,236.7,42699524.0
2025-09-16,AAPL,237.175,241.22,236.3235,238.15,63421099.0
2025-09-17,AAPL,238.97,240.1,237.7301,238.99,46508017.0
2025-09-18,AAPL,239.97,241.2,236.65,237.88,44249576.0
2025-09-19,AAPL,241.225,246.3,240.2106,245.5,163741314.0
2025-09-22,AAPL,248.3,256.64,248.12,256.08,105517416.0
2025-09-23,AAPL,255.875,257.34,253.58,254.43,60275187.0
2025-09-24,AAPL,255.22,255.74,251.04,252.31,42303710.0
2025-09-25,AAPL,253.205,257.17,251.712,256.87,55202075.0
2025-09-26,AAPL,254.095,257.6,253.78,255.46,46076258.0
2025-09-29,AAPL,254.56,255.0,253.01,254.43,40127687.0
2025-09-30,AAPL,254.855,255.919,253.11,254.63,37704259.0
2025-10-01,AAPL,255.04,258.79,254.93,255.45,48713940.0
2025-10-02,AAPL,256.575,258.18,254.15,257.13,42630239.0
2025-10-03,AAPL,254.665,259.24,253.95,258.02,49155614.0
2025-10-06,AAPL,257.99,259.07,255.05,256.69,44664118.0
2025-10-07,AAPL,256.805,257.4,255.43,256.48,31955776.0
2025-10-08,AAPL,256.52,258.52,256.11,258.06,36496895.0
2025-10-09,AAPL,257.805,258.0,253.14,254.04,38322012.0
